short_name,long_name,overall,value_eur,wage_eur,player_positions,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
C. Hamilton,CJ Hamilton,66,925000,6000,ATTACKER,57,61,54,58,52,65,54,34,53,61,94,91,76,60,64,73,70,75,66,57,56,58,63,56,53,63,57,57,56,15,10,7,15,14
Erik,Erik Roberto Silva do Nascimento,66,925000,4000,ATTACKER,37,68,62,57,63,69,58,41,35,66,79,80,86,68,88,65,76,61,35,62,53,13,65,57,65,63,20,15,22,12,9,9,10,14
D. Dianessy,Djibril Dianessy,66,900000,3000,MIDFIELDER,43,67,55,60,59,68,58,35,47,66,78,76,84,55,66,66,74,45,57,68,32,20,61,64,66,62,34,23,16,14,9,13,10,7
Jang Yun Ho,장윤호 张润镐,66,900000,1000,MIDFIELDER,46,49,54,69,56,58,59,61,66,65,55,61,65,66,73,64,54,70,66,59,69,67,59,68,56,63,45,59,56,7,12,15,13,7
Lee Yeong Jae,이영재 李荣载,66,900000,2000,MIDFIELDER,42,55,54,65,39,62,55,59,69,66,65,81,66,65,82,70,71,67,37,67,67,58,61,71,48,60,59,52,48,16,15,10,11,8
L. Gugganig,Lukas Gugganig,66,825000,4000,MIDFIELDER,31,48,57,62,32,51,72,73,54,58,56,60,56,67,47,72,55,72,80,51,69,69,47,48,41,53,68,73,62,11,9,15,15,14
A. Doffo,Agustín Doffo,66,900000,2000,MIDFIELDER,64,56,42,67,42,70,65,59,61,66,72,70,61,50,66,57,49,42,51,62,33,21,58,71,51,59,25,30,31,13,13,16,15,14
N. Kijewski,Niko Kijewski,66,800000,2000,DEFENDER,63,30,58,61,28,66,57,53,67,66,77,74,73,58,76,49,90,71,59,46,60,68,48,50,34,60,60,64,65,6,6,9,8,8
M. Bähre,Mike-Steven Bähre,66,900000,4000,MIDFIELDER,64,59,50,67,50,67,58,53,65,67,74,71,77,60,76,66,66,72,53,57,43,33,62,66,65,65,35,39,36,12,7,11,14,13
A. Munksgaard,Alexander Munksgaard,66,825000,3000,DEFENDER,63,42,63,62,40,63,58,31,60,64,74,78,72,64,66,48,66,72,73,34,55,62,43,50,40,52,61,65,64,7,10,10,10,14
S. Sarr,Sidy Sarr,66,900000,6000,MIDFIELDER,51,60,79,67,48,61,52,57,61,68,55,68,47,67,32,74,79,82,91,59,78,61,62,63,44,59,59,65,56,12,7,6,10,5
B. Konaté,Brahim Konaté,66,825000,2000,MIDFIELDER,51,42,65,67,31,62,38,36,65,64,63,65,69,69,72,60,70,63,63,51,62,70,45,61,47,68,64,58,61,12,13,8,6,11
M. El Hankouri,Mohamed El Hankouri,66,900000,3000,MIDFIELDER,56,55,37,62,59,75,74,60,54,69,81,78,77,60,80,69,45,61,43,65,52,35,57,66,59,65,28,34,30,9,7,11,15,8
A. Reca,Arkadiusz Reca,66,800000,10000,DEFENDER,67,56,62,64,48,72,51,45,60,70,82,78,64,58,52,60,83,68,68,54,55,60,70,67,62,62,60,64,62,8,12,13,10,10
Jean Carlos,Jean Carlos Silva Rocha,66,900000,2000,MIDFIELDER,64,58,58,66,54,69,71,61,69,68,70,81,69,55,49,55,34,70,61,56,49,45,58,68,49,57,31,38,27,8,9,12,11,5
P. Sisniega,Pablo Eduardo Sisniega Fink,66,675000,2000,GOALKEEPER,20,11,21,33,14,24,27,21,46,35,41,48,45,58,32,48,60,39,61,18,24,18,7,31,23,46,10,23,22,63,71,64,67,63
K. Mohammed,Kadiri Mohammed,66,825000,1000,DEFENDER,27,28,61,56,25,59,32,31,43,56,72,69,66,53,63,45,72,66,65,32,74,65,34,46,35,50,62,67,70,11,10,9,13,13
R. Peña,Ronaldo Peña,66,925000,3000,ATTACKER,30,64,66,62,57,64,32,25,48,63,68,65,68,63,59,72,60,55,70,54,73,18,64,41,60,59,20,13,18,12,11,8,8,7
M. Bundu,Mustapha Bundu,66,900000,4000,ATTACKER,59,61,52,59,52,68,59,56,52,66,82,87,76,60,74,68,70,72,73,64,49,27,67,55,51,58,53,41,36,6,7,10,7,7
A. Chalá,Anibal Chalá,66,800000,5000,DEFENDER,59,38,56,54,36,54,49,31,51,55,93,96,70,58,66,61,67,75,59,42,68,59,66,58,54,60,67,65,62,6,13,10,8,7
K. Matsubara,松原 後,66,800000,1000,DEFENDER,70,60,36,64,24,65,45,25,57,68,73,77,66,55,63,65,68,74,69,56,69,60,67,46,32,62,62,66,64,11,7,12,5,7
O. Verdon,Olivier Verdon,66,825000,5000,DEFENDER,30,21,63,52,34,33,34,28,38,42,52,51,46,54,46,41,73,69,80,27,59,63,31,28,44,54,67,69,68,11,6,15,11,11
L. Angulo,Larry Angulo,66,900000,1000,MIDFIELDER,43,58,50,65,45,65,48,47,62,68,69,66,62,64,72,73,78,83,76,70,63,64,62,62,35,58,58,61,47,13,11,7,8,12
C. Boukholda,Chahreddine Boukholda,66,900000,2000,MIDFIELDER,60,52,46,72,56,68,69,51,71,67,54,48,67,63,66,61,41,48,63,56,37,38,57,74,58,71,29,40,36,6,6,13,13,14
Rodrigão,Rodrigo de Souza Prado,66,825000,3000,DEFENDER,36,27,64,60,31,33,33,21,61,43,57,63,48,55,44,49,71,61,89,22,65,62,32,32,37,54,64,67,62,6,7,11,11,13
E. Eze,Emeka Friday Eze,66,925000,6000,ATTACKER,45,62,65,52,56,64,50,33,47,66,77,83,68,59,57,70,71,52,74,55,71,14,66,64,60,59,37,15,11,13,13,13,8,14
C. Bayala,Cyrille Bayala,66,900000,2000,MIDFIELDER,60,60,46,61,51,66,60,41,50,63,80,82,72,60,63,70,54,71,69,52,42,27,64,61,52,61,38,29,27,7,13,6,8,10
Y. Nazaryna,Yehor Nazaryna,66,900000,3000,MIDFIELDER,58,52,57,71,58,66,65,58,69,69,67,70,73,60,63,61,62,69,65,63,55,55,49,68,59,58,55,62,58,8,5,12,10,13
M. Etuin,Maxime Etuin,66,900000,2000,MIDFIELDER,62,51,44,75,58,65,65,68,72,67,66,71,68,59,77,68,60,52,45,56,47,56,51,64,65,63,54,64,62,8,7,11,6,13
Neto Borges,Vivaldo Neto,66,800000,4000,DEFENDER,64,48,58,64,38,68,46,30,59,66,70,72,70,67,69,54,60,76,74,50,64,62,66,66,32,67,63,63,61,10,7,14,6,10
A. Adam,Abdulfatah Adam,66,925000,10000,ATTACKER,41,70,64,57,59,65,42,37,34,63,77,74,75,52,69,66,93,69,66,59,36,16,64,52,68,48,16,11,11,7,8,13,14,9
B. White,Brian White,66,925000,3000,ATTACKER,43,66,64,56,52,64,52,42,50,65,76,76,75,63,72,64,72,73,71,58,55,46,64,55,62,58,47,46,42,10,11,10,9,5
F. Sakala,Fashion Sakala,66,925000,5000,ATTACKER,59,68,65,52,60,60,53,49,48,57,87,85,77,58,74,75,89,68,67,61,53,35,58,55,68,60,20,26,21,12,7,11,11,13
G. Whyte,Gavin Whyte,66,900000,7000,MIDFIELDER,58,61,45,60,48,68,47,41,52,67,82,81,75,60,62,63,46,60,36,50,28,24,60,64,46,50,32,28,29,13,9,7,10,13
S. Coulibaly,Senou Coulibaly,66,825000,4000,DEFENDER,30,32,65,57,31,48,39,32,47,56,52,53,34,61,44,53,68,64,73,38,72,65,37,40,47,60,65,65,62,6,13,7,12,12
D. Todorović,Darko Todorović,66,800000,4000,DEFENDER,64,42,42,60,52,65,64,47,51,63,73,69,74,67,77,64,57,66,62,59,68,66,63,58,52,58,61,67,66,14,9,9,11,10
S. Lawson,Steve Lawson,66,825000,2000,MIDFIELDER,42,43,59,68,45,67,66,66,66,65,76,81,77,58,75,65,77,69,69,55,71,63,39,60,54,70,62,67,60,7,11,15,9,13
Carlos Neva,Carlos Neva Tey,66,800000,5000,DEFENDER,62,39,56,59,37,61,54,35,40,63,74,72,67,64,66,54,54,63,51,36,59,68,63,51,48,58,65,66,67,8,11,9,6,12
Cristian Cedrés,Cristian Josué Artiles Cedrés,66,900000,3000,MIDFIELDER,60,60,49,62,59,68,64,61,57,66,83,80,80,64,78,75,42,65,49,69,37,20,60,58,65,67,33,33,34,12,9,6,11,15
F. Pons,Facundo Pons,66,925000,3000,ATTACKER,39,71,73,51,61,59,41,39,41,57,62,65,61,57,65,71,73,65,83,57,41,35,65,49,63,53,29,27,25,14,14,6,6,9
T. Štrkalj,Tomislav Štrkalj,66,925000,2000,ATTACKER,36,71,68,50,49,59,61,40,36,64,53,59,59,66,60,74,72,45,66,65,29,15,65,46,65,51,15,15,15,12,10,7,9,13
H. Bockhorn,Herbert Bockhorn,66,800000,8000,DEFENDER,61,65,52,60,29,68,53,28,60,62,76,77,75,70,75,59,65,78,66,66,56,65,59,47,37,50,60,59,63,7,9,11,15,9
M. Brizuela,Miguel Brizuela,66,825000,4000,DEFENDER,33,24,64,64,31,43,27,32,47,47,54,59,47,56,49,44,71,58,72,26,63,67,25,32,41,50,69,63,66,13,14,10,5,9
S. Nicholson,Shamar Nicholson,66,925000,4000,ATTACKER,53,66,58,60,58,62,48,56,51,64,63,72,56,53,48,85,64,58,81,71,57,16,60,60,63,67,15,21,19,8,12,14,15,12
M. Kennedy,Matthew Kennedy,66,875000,2000,MIDFIELDER,66,64,45,60,40,70,67,44,53,66,85,82,71,56,82,63,74,68,60,50,57,47,53,61,63,64,43,52,50,15,15,10,15,10
D. Wright,Drey Jermaine Wright,66,875000,2000,MIDFIELDER,64,57,42,60,56,71,52,56,54,69,76,76,82,57,72,57,73,77,73,59,41,51,58,59,54,55,51,54,51,13,13,13,8,9
B. Finne,Bård Finne,66,875000,2000,ATTACKER,50,65,51,63,68,67,63,70,37,69,81,74,83,67,85,70,83,81,52,57,49,21,62,58,64,59,30,12,15,16,10,14,12,7
K. Sadlier,Kieran Sadlier,66,875000,3000,MIDFIELDER,62,64,54,63,67,69,66,68,59,66,73,75,73,53,65,70,67,74,64,72,58,44,63,65,67,62,33,36,34,11,12,10,8,9
A. Maxsø,Andreas Maxsø,66,775000,3000,DEFENDER,41,49,72,61,31,32,39,30,59,62,42,56,48,61,65,52,83,77,80,31,56,62,44,34,37,61,61,64,67,10,9,10,16,10
S. Kaikai,Sullay Kaikai,66,875000,3000,MIDFIELDER,64,62,41,62,59,71,63,70,56,70,79,79,81,56,74,65,67,54,56,64,32,32,57,63,68,56,28,23,22,15,7,14,10,15
D. Seys,Dylan Seys,66,875000,2000,ATTACKER,63,62,43,65,58,70,56,47,58,68,79,81,70,57,92,61,32,64,72,59,42,22,54,60,40,66,58,18,20,14,15,16,14,12
E. Zejnullahu,Eroll Zejnullahu,66,875000,1000,MIDFIELDER,55,51,51,68,53,68,70,59,65,67,74,69,76,62,79,69,64,68,57,64,68,63,59,66,49,60,59,65,61,13,12,12,14,6
J. Allen,Jamie Allen,66,875000,3000,MIDFIELDER,58,51,55,71,45,62,50,53,69,60,76,77,71,62,64,54,63,82,70,47,71,66,62,65,44,60,63,67,64,11,16,6,8,8
M. Macey,Matt Macey,66,675000,12000,GOALKEEPER,18,16,16,27,16,16,16,17,24,19,38,40,37,59,33,50,52,33,67,16,25,15,12,36,22,52,11,11,14,63,66,67,64,68
F. Dabo,Fankaty Dabo,66,775000,3000,DEFENDER,59,44,61,66,39,60,42,34,48,62,68,72,59,62,62,54,72,74,74,43,77,65,52,43,34,67,62,67,64,8,13,8,7,14
M. Uhre,Mikael Uhre,66,900000,6000,ATTACKER,41,66,59,52,53,64,52,32,39,63,82,85,71,64,62,71,64,68,77,61,61,17,59,55,52,51,42,32,28,11,15,9,9,14
S. McQueen,Sam McQueen,66,775000,11000,DEFENDER,73,47,54,61,42,71,67,47,57,69,69,67,70,62,70,48,60,64,70,51,55,62,47,57,52,57,66,67,61,12,12,12,7,9
G. Kastaneer,Gervane Kastaneer,66,875000,3000,ATTACKER,59,60,65,54,53,72,54,33,29,71,79,85,68,66,80,69,82,73,78,63,44,25,66,59,55,55,35,30,22,12,14,9,7,12
P. Strand,Petter  Strand,66,875000,2000,ATTACKER,64,60,48,64,59,66,67,68,64,63,87,84,87,58,71,71,72,92,65,66,62,64,58,65,56,60,56,60,58,14,10,9,7,10
J. Prior,Jérôme Prior,66,675000,1000,GOALKEEPER,13,16,14,35,17,18,16,16,37,22,48,55,35,63,51,50,61,30,78,17,40,25,15,40,14,58,10,13,12,66,65,67,65,65
D. Mesenhöler,Daniel Mesenhöler,66,675000,1000,GOALKEEPER,18,15,14,32,17,12,18,15,25,21,50,48,34,66,50,43,70,33,63,18,21,21,17,15,23,28,12,20,12,67,69,57,62,65
D. Van den Buijs,Dario Van den Buijs,66,800000,2000,DEFENDER,70,35,66,64,26,40,68,62,66,63,66,64,64,57,63,56,68,66,70,32,58,64,29,44,71,61,67,67,65,10,11,13,7,7
M. Laínez,Mauro Alberto Laínez Leyva,66,875000,6000,MIDFIELDER,63,59,58,66,46,73,60,43,61,66,77,75,77,60,78,72,60,63,56,59,72,62,57,55,51,60,52,52,53,6,8,14,7,10
B. Straalman,Bart Straalman,66,800000,1000,DEFENDER,56,23,60,58,31,52,46,29,59,55,52,66,49,55,38,36,65,71,73,30,64,66,39,33,31,58,64,68,65,8,14,14,8,6
J. Smeets,Jorrit Smeets,66,875000,3000,MIDFIELDER,59,51,38,67,50,63,58,43,65,66,66,64,67,66,71,65,64,71,66,50,72,67,57,64,38,64,65,69,68,5,15,7,15,9
D. Gnaase,Dave Gnaase,66,800000,2000,MIDFIELDER,54,47,51,67,48,64,50,48,66,67,77,75,76,64,78,64,73,80,70,59,65,59,55,62,45,58,60,62,64,8,5,8,11,9
R. Zambrano,Renzo José Zambrano,66,800000,2000,MIDFIELDER,63,51,44,70,43,67,75,69,70,69,74,72,87,60,76,67,62,66,62,61,65,62,60,68,49,65,61,62,60,6,10,8,10,11
R. González,Ricardo Alfonso Gonzalez,66,875000,2000,MIDFIELDER,69,46,33,60,39,69,57,44,55,64,75,86,71,60,80,49,61,59,45,57,30,38,66,57,41,50,32,24,40,14,10,13,9,6
S. Stolze,Sebastian Stolze,66,875000,4000,MIDFIELDER,56,65,55,63,61,73,57,39,47,70,77,78,78,59,72,55,67,62,52,62,39,19,63,56,57,54,36,23,22,12,11,7,9,12
J. Vásquez,Jhon Vásquez,66,875000,1000,MIDFIELDER,68,62,46,59,59,69,63,59,52,64,82,76,74,59,71,71,47,66,88,63,39,16,66,60,57,53,24,20,20,13,13,6,7,12
D. Sappa,Daniel Sappa,66,675000,2000,GOALKEEPER,13,8,16,28,11,10,18,14,24,22,30,36,32,63,33,50,59,28,73,12,22,20,9,36,40,50,22,12,11,58,66,66,70,65
R. Ogawa,小川 諒也,66,775000,3000,DEFENDER,65,45,50,60,41,53,53,57,58,59,79,73,73,60,63,50,51,84,76,51,61,65,44,42,47,63,57,64,63,9,9,9,9,13
Carlos Fortes,Carlos Manuel Santos Fortes,66,900000,3000,ATTACKER,28,64,62,63,64,67,71,26,34,65,60,75,65,59,46,71,63,68,80,57,75,20,62,51,45,51,31,28,28,9,9,15,9,11
A. Laïdouni,Aïssa Laïdouni,66,875000,2000,MIDFIELDER,57,58,47,67,33,67,35,45,59,69,66,67,63,62,67,26,65,74,63,53,56,65,67,63,67,56,57,68,59,10,11,13,14,13
M. Janković,Marko Janković,66,875000,4000,MIDFIELDER,59,60,44,64,43,67,61,55,59,65,75,71,71,61,82,66,51,55,48,58,55,41,66,65,60,63,45,28,35,13,13,6,15,6
Bruno Leite,Bruno Miguel Santos Leite,66,875000,2000,MIDFIELDER,54,46,42,67,48,67,62,43,64,66,73,70,61,65,65,58,48,78,65,55,57,66,57,63,44,59,60,62,62,10,14,15,13,10
Juanjo Nieto,Juan José Nieto Zarzoso,66,775000,3000,DEFENDER,62,38,55,63,58,62,59,37,61,63,72,74,70,65,72,54,58,66,57,49,63,64,52,50,39,48,62,64,64,9,14,10,8,14
Ha Chang Rae,하창래 河昌莱,66,800000,2000,DEFENDER,20,23,64,59,21,39,26,23,50,56,54,55,47,66,54,37,67,68,73,16,64,67,25,30,36,60,63,66,64,9,6,10,14,8
M. Schröter,Morris Schröter,66,875000,1000,MIDFIELDER,68,59,53,63,45,58,66,51,65,63,88,84,68,64,71,51,59,70,63,55,70,61,58,59,50,56,60,63,62,10,7,12,6,12
J. Schryvers,Jur Schryvers,66,775000,3000,DEFENDER,66,26,56,64,36,60,53,48,63,62,68,68,69,62,67,53,68,70,62,46,64,64,51,58,38,61,63,65,64,12,9,10,14,10
L. Marseiler,Luca Marseiler,66,875000,2000,MIDFIELDER,59,63,36,64,50,67,57,56,49,66,80,81,80,64,84,51,70,72,53,56,48,38,62,56,41,54,39,28,31,11,15,7,8,13
N. Mihajlović,Nemanja Mihajlović,66,875000,3000,ATTACKER,71,60,42,63,60,68,71,47,58,67,77,77,75,57,81,72,33,66,59,60,64,20,58,66,62,59,32,32,27,14,9,6,6,10
S. Diarra,Souleymane Diarra,66,875000,4000,MIDFIELDER,58,55,48,66,40,67,56,39,64,68,65,66,75,68,80,60,80,79,57,59,74,67,58,65,44,66,69,66,65,10,9,12,11,14
A. Succar,Alexander Nasim Succar Cañote,66,900000,2000,ATTACKER,47,69,60,56,58,65,67,54,44,61,78,74,54,63,54,61,58,59,73,64,59,28,64,55,67,61,18,22,21,13,8,15,11,13
Y. Roche,Yohan Roche,66,800000,1000,DEFENDER,35,26,63,57,28,38,37,28,38,56,61,63,57,61,61,44,63,73,73,25,68,66,29,31,46,52,63,65,64,6,7,7,6,12
João Lopes,João Vitor Lopes da Silva,66,675000,1000,GOALKEEPER,11,7,11,37,8,7,8,15,32,18,33,29,54,63,40,44,70,22,71,10,19,17,7,51,12,36,22,9,8,66,64,59,66,66
I. Sankhon,Ibrahima Sory Sankhon,66,800000,3000,DEFENDER,60,33,58,67,57,66,65,68,62,68,70,73,73,61,73,73,72,76,69,67,73,62,41,64,60,66,63,64,63,11,12,7,13,12
E. Grezda,Eros Grezda,66,875000,13000,ATTACKER,65,57,42,62,51,71,60,35,58,65,90,86,84,59,73,61,50,61,52,49,57,36,57,59,56,60,31,29,24,10,6,14,11,9
A. Chindriș,Andrei Chindriș,66,800000,2000,DEFENDER,24,28,65,61,20,49,20,27,20,55,68,56,52,57,58,32,76,63,77,21,63,63,28,34,37,48,61,67,64,8,14,8,13,6
Gabriel Souza,Gabriel Eugénio Souza,66,675000,2000,GOALKEEPER,13,10,14,23,10,15,12,10,25,20,34,40,46,63,44,54,50,21,68,10,31,9,5,60,19,38,7,14,13,64,62,72,65,67
Simón Moreno,Simón Moreno Barroso,66,900000,2000,ATTACKER,43,68,61,57,47,65,42,38,35,63,75,77,52,63,70,68,61,66,53,64,35,12,64,56,64,59,14,21,15,14,8,10,11,10
L. Nicholls,Lee Nicholls,66,625000,3000,GOALKEEPER,18,11,15,34,10,12,11,15,33,29,40,42,42,65,38,48,64,29,55,14,25,9,5,40,23,44,12,11,13,68,62,64,62,70
N. Lavanchy,Numa Lavanchy,66,750000,2000,DEFENDER,71,62,56,57,59,63,67,58,54,66,79,80,76,60,80,57,73,81,52,58,65,53,72,64,54,59,62,61,60,12,12,9,10,9
C. Nelson,Curtis Nelson,66,750000,8000,DEFENDER,37,38,65,58,23,57,40,53,55,49,76,65,71,58,61,42,91,88,85,28,63,56,43,50,37,65,60,66,64,14,11,8,10,13
M. Ødegaard,Magnar Ødegaard,66,750000,2000,DEFENDER,53,19,60,56,24,49,33,24,53,51,64,54,61,59,59,53,77,65,79,22,58,70,30,43,19,59,68,67,63,10,8,11,9,9
M. Bueno,Marco Antonio Bueno Ontiveros,66,875000,1000,ATTACKER,59,65,67,61,48,64,54,51,59,65,70,74,73,63,61,65,76,70,72,58,69,17,67,55,62,58,28,42,40,12,13,9,14,10
J. Naismith,Jason Naismith,66,750000,4000,DEFENDER,64,45,62,62,13,62,56,29,59,61,80,79,63,58,58,64,75,82,79,40,72,60,56,58,44,54,57,66,63,8,6,7,11,7
D. Stojanović,Dejan Stojanović,66,625000,3000,GOALKEEPER,16,12,17,30,19,17,17,15,18,20,34,42,34,64,35,44,60,34,60,14,24,18,10,27,21,58,12,19,11,69,60,59,64,70
Alex Gorrín,Alejandro Rodríguez Gorrín,66,775000,3000,MIDFIELDER,45,39,58,69,34,66,47,69,68,68,57,63,58,58,80,51,57,59,59,48,68,70,55,67,62,56,59,65,62,8,8,15,15,6
T. Fountas,Taxiarchis Fountas,66,875000,5000,ATTACKER,62,61,57,64,64,68,68,69,58,66,88,80,89,67,89,65,72,58,32,60,70,56,71,64,60,70,37,40,37,16,14,15,12,9
D. Samuel,Dominic Samuel,66,875000,7000,ATTACKER,49,65,66,60,57,70,62,37,40,66,76,74,63,55,60,62,73,68,69,59,67,26,63,51,64,61,44,31,28,15,7,16,15,6
Zhou Dingyang,Dingyang Zhou,66,850000,4000,MIDFIELDER,49,56,64,65,52,60,54,50,64,64,64,65,66,66,71,65,71,76,72,63,65,64,61,65,66,59,56,65,57,12,8,8,13,14
A. Guido,Alejandro Eugenio Guido Pérez,66,850000,3000,MIDFIELDER,54,58,60,70,60,68,62,66,68,66,65,66,65,66,61,68,54,59,62,61,40,63,64,65,59,61,41,51,55,16,8,13,7,12
N. Melissas,Nikos Melissas,66,625000,1000,GOALKEEPER,14,17,16,23,18,18,15,16,23,21,34,34,55,60,43,39,63,29,42,18,11,3,4,33,30,28,11,20,13,68,63,52,64,69
E. Lee,Elliot Lee,66,850000,5000,MIDFIELDER,57,66,59,66,61,67,60,60,58,65,71,73,68,61,70,65,62,66,65,63,56,37,65,64,59,62,35,44,40,14,8,15,14,9
I. Lučić,Ivan Lučić,66,650000,3000,GOALKEEPER,13,8,14,30,18,10,15,22,25,25,38,41,33,63,42,46,51,21,78,14,19,18,5,35,24,34,11,13,19,68,61,61,63,68
D. Del Fabro,Dario Del Fabro,66,775000,18000,DEFENDER,25,23,68,49,34,44,22,21,46,47,61,59,56,53,67,54,90,65,72,40,71,63,22,32,36,58,72,65,63,3,3,3,3,3
S. Al Shehri,Saleh Khalid Al Shehri,66,875000,7000,ATTACKER,36,70,67,52,59,61,52,37,34,64,63,65,67,63,49,64,84,62,83,55,45,20,66,48,68,66,18,19,14,12,13,16,10,13
M. Palmer,Matthew Palmer,66,850000,5000,MIDFIELDER,67,59,50,67,55,64,57,60,64,66,69,69,68,63,67,62,70,72,65,63,59,64,62,67,55,62,62,62,58,9,10,7,13,11
L. Hufnagel,Lucas Hufnagel,66,850000,2000,MIDFIELDER,60,54,49,67,49,71,58,39,63,68,75,72,79,65,74,59,53,74,56,57,39,54,62,65,48,56,47,54,49,8,8,14,14,13
D. Gape,Dominic Gape,66,850000,2000,MIDFIELDER,65,54,57,66,44,62,61,43,65,65,68,66,76,64,81,63,74,80,69,61,74,63,57,64,56,65,64,65,63,11,16,11,15,8
T. Al Absi,Talal Al Absi,66,750000,7000,DEFENDER,31,17,59,50,26,39,28,23,37,55,58,57,50,59,64,38,79,68,78,24,66,66,38,33,38,50,63,71,65,15,10,13,12,7
K. Pedersen,Kasper Pedersen,66,750000,4000,DEFENDER,34,31,69,60,35,43,34,34,51,57,65,53,58,56,61,50,78,72,77,33,61,62,34,50,36,65,67,66,63,7,13,9,11,8
A. Salazar,Álvaro Luis Salazar Bravo,66,625000,1000,GOALKEEPER,13,15,11,30,17,16,18,11,36,21,44,40,35,66,55,47,64,23,62,17,20,17,16,35,20,59,18,18,15,64,66,63,64,67
L. Pavez Muñoz,Luis Alberto Pavez Muñoz,66,750000,2000,DEFENDER,70,47,48,57,43,54,37,30,49,65,85,77,80,53,69,61,73,71,61,49,72,53,61,54,35,54,68,62,70,12,12,12,15,14
G. Iñíguez,Gaspar Emanuel Iñíguez,66,850000,5000,MIDFIELDER,62,44,48,70,48,65,58,46,68,69,66,66,76,60,80,68,72,71,66,58,64,64,60,62,50,60,61,66,62,14,15,8,14,16
D. Islamovic,Dino Islamovic,66,875000,2000,ATTACKER,39,66,57,63,69,61,64,58,52,65,41,58,60,64,60,78,63,69,85,69,44,42,67,64,62,68,28,16,19,10,11,16,10,10
A. Tshibola,Aaron Tshibola,66,850000,13000,MIDFIELDER,59,55,66,70,42,67,54,51,70,70,66,66,77,57,74,66,63,66,74,53,73,67,53,65,51,65,56,64,63,7,9,14,9,15
S. Gregersen,Stian Rode Gregersen,66,775000,2000,DEFENDER,35,38,65,55,41,35,48,38,49,50,61,73,33,53,47,51,71,61,81,50,77,61,44,42,45,47,63,66,64,8,10,10,7,12
Flávio,Flávio da Silva Ramos,66,775000,5000,DEFENDER,29,24,68,51,20,42,29,25,37,45,36,47,37,65,38,43,66,58,90,30,75,66,23,30,35,62,61,62,60,14,10,14,11,11
Ángel Galván,Ángel Jesús Galván Rivero,66,625000,2000,GOALKEEPER,13,18,18,29,14,21,13,13,22,16,42,47,65,63,49,46,60,28,69,14,28,26,13,38,25,45,11,14,20,65,69,61,66,63
C. Omoigui,Cedric Omoigui,66,875000,4000,ATTACKER,46,68,60,55,57,65,47,43,34,61,88,87,85,53,75,68,79,65,73,56,48,15,62,52,55,61,21,24,15,13,15,14,8,11
D. Camara,Demba Camara,66,875000,3000,ATTACKER,42,63,64,65,56,67,56,44,53,66,74,76,72,59,74,64,71,71,73,59,41,46,62,53,70,56,31,29,28,14,14,12,14,9
A. Lundqvist,Adam Lundqvist,66,750000,2000,DEFENDER,65,42,46,64,64,55,75,63,60,65,71,67,75,68,73,68,70,74,43,57,69,65,48,65,53,67,64,66,62,15,11,10,7,10
E. Gómez,Elias Gómez,66,750000,3000,DEFENDER,62,53,63,67,49,69,47,39,63,69,75,76,72,66,68,51,57,74,69,49,69,58,69,58,48,63,49,65,66,13,15,10,15,8
H. Zapata,William Zapata Brand,66,850000,1000,MIDFIELDER,63,63,46,62,50,69,64,41,55,66,75,78,80,65,62,53,52,68,75,55,45,43,59,56,45,60,49,31,35,7,10,10,8,8
S. Filip,Steliano  Filip,66,750000,3000,DEFENDER,60,42,63,65,35,51,45,37,64,59,73,71,80,63,66,73,57,77,80,46,86,62,63,49,40,62,56,64,66,8,11,10,12,8
M. Asenjo,Mauricio Asenjo,66,875000,4000,ATTACKER,25,68,67,44,68,63,35,58,24,68,54,61,67,64,62,73,68,71,75,64,54,24,65,54,64,58,57,24,18,6,13,7,7,12
G. Zajkov,Gjoko Zajkov,66,775000,4000,DEFENDER,28,19,65,61,12,38,19,21,62,48,34,54,51,61,63,42,33,48,75,18,66,66,26,42,22,61,65,69,66,13,7,14,16,13
S. Ernst,Sebastian Ernst,66,850000,3000,MIDFIELDER,57,49,56,67,46,72,53,46,63,68,77,71,75,65,78,65,66,84,49,53,49,49,63,64,54,63,42,54,54,11,7,8,11,9
N. Mbemba,Nolan Mbemba,66,850000,7000,MIDFIELDER,55,58,57,71,57,68,52,49,64,67,64,68,68,63,68,61,74,59,64,62,71,61,53,65,50,64,58,63,56,12,15,12,8,7
A. Capello,Alessandro Capello,66,875000,1000,ATTACKER,59,68,65,59,57,60,45,43,58,64,74,79,75,62,58,63,62,73,63,55,39,33,69,59,70,61,24,23,23,13,7,6,7,8
O. Zawada,Oskar Zawada,66,875000,2000,ATTACKER,41,67,65,55,59,57,53,39,34,65,73,75,58,59,56,67,54,66,81,54,40,22,63,56,61,49,20,23,22,10,7,7,15,6
Li Ang,李昂,66,775000,5000,DEFENDER,53,51,65,61,53,57,72,83,60,59,58,53,56,62,63,66,78,74,83,61,65,61,52,42,56,60,65,61,61,14,7,7,13,11
